epoch,roc_auc,pr_auc,max_f1,is_best,chunk_time_sec
2,0.4714,0.1610,0.2891,1,279.8
4,0.5755,0.3234,0.2994,1,270.0
6,0.5747,0.3173,0.2999,1,250.0
8,0.5770,0.3218,0.3001,1,251.7
10,0.5789,0.3264,0.3002,1,266.7
12,0.5790,0.3219,0.3003,1,4341.5
14,0.5820,0.3271,0.3016,1,154.7
16,0.5859,0.3331,0.3066,1,146.2
18,0.5729,0.5020,0.2927,0,138.9
20,0.5860,0.3241,0.3068,1,139.4
22,0.5996,0.3483,0.3213,1,143.8
