epoch,train_loss,val_oracle_f1,is_best,minutes
1,1.2790,0.6884,1,1.7
2,0.6862,0.9156,1,0.7
3,0.4266,0.9312,1,0.6
4,0.3333,0.9418,1,0.6
5,0.2760,0.9410,0,0.6
6,0.2591,0.9500,1,0.6
7,0.2079,0.9544,1,0.7
8,0.1881,0.9620,1,0.6
9,0.1669,0.9588,0,0.6
10,0.1520,0.9666,1,1.3
11,0.1442,0.9676,1,0.6
12,0.1239,0.9697,1,0.6
13,0.1247,0.9697,1,0.6
14,0.1275,0.9710,1,0.6
15,0.1039,0.9717,1,0.6
16,0.1169,0.9712,0,0.6
17,0.1003,0.9729,1,0.6
18,0.1025,0.9727,0,0.6
19,0.0984,0.9725,0,0.6
20,0.0996,0.9735,1,0.6
21,0.0901,0.9735,1,0.6
22,0.0931,0.9735,0,0.6
