5,0.9711,0.9449,0.8940,1,4.6
10,0.9845,0.9666,0.9134,1,4.5
15,0.9892,0.9768,0.9328,1,4.5
20,0.9905,0.9768,0.9279,0,4.5
25,0.9907,0.9796,0.9405,1,4.5
